team,champion,team_champion_pick_rows,wins_with_champion,op_pick_rows,patches,example_matches,win_rate_with_champion
Frites Esports Club,Jarvan IV,5,5,0,"26.09, 26.10, 26.11","Road Of Legends/2026 Season/Spring Split_Week 6_4_1, Road Of Legends/2026 Season/Spring Split_Week 7_1_1, Road Of Legends/2026 Season/Spring Playoffs_Round 1_1_1",1.0
Fukuoka SoftBank HAWKS gaming,Aurora,5,1,0,"26.09, 26.10","LCP/2026 Season/Split 2_Week 5_3_2, Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 1_4_1, LCP/2026 Season/Split 2_Week 6_4_1",0.2
G2 Esports,Pantheon,5,5,0,"26.09, 26.10","LEC/2026 Season/Spring Season_Week 6_4_1, LEC/2026 Season/Spring Season_Week 7_3_1, Esports World Cup 2026/Online Qualifiers/EMEA_Round 4_1_1",1.0
G2 NORD,Ashe,5,5,0,"26.09, 26.10, 26.11","Prime League 1st Division/2026 Season/Spring Split_Week 6_3_1, Prime League 1st Division/2026 Season/Spring Split_Week 7_1_2, Prime League 1st Division/2026 Season/Spring Playoffs_Finals_1_2",1.0
G2 NORD,Jarvan IV,5,4,0,"26.09, 26.10, 26.11","Prime League 1st Division/2026 Season/Spring Split_Week 6_3_1, Prime League 1st Division/2026 Season/Spring Playoffs_Quarterfinals_2_2, Prime League 1st Division/2026 Season/Spring Playoffs_Semifinals_2_3",0.8
G2 NORD,Nautilus,5,4,0,"26.10, 26.11","Prime League 1st Division/2026 Season/Spring Playoffs_Semifinals_2_3, Prime League 1st Division/2026 Season/Spring Playoffs_Finals_1_3, EMEA Masters/2026 Season/Spring Main Event_Groups Day 1_3_2",0.8
G2 NORD,Viktor,5,2,0,"26.10, 26.11","Prime League 1st Division/2026 Season/Spring Playoffs_Semifinals_2_1, EMEA Masters/2026 Season/Spring Main Event_Groups Day 1_3_2, EMEA Masters/2026 Season/Spring Main Event_Groups Day 2_2_2",0.4
GAM Esports,Ezreal,5,4,0,"26.09, 26.10","Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 1_2_2, LCP/2026 Season/Split 2_Week 6_4_2, Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 2_4_1",0.8
GAM Esports,Gnar,5,3,0,"26.09, 26.10","LCP/2026 Season/Split 2_Week 5_2_1, Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 2_1_2, Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 4_2_2",0.6
GAM Esports,Jayce,5,3,0,"26.09, 26.10","Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 1_2_1, Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 2_1_1, LCP/2026 Season/Split 2_Week 6_4_2",0.6
GAM Esports,Lee Sin,5,2,0,"26.09, 26.10","LCP/2026 Season/Split 2_Week 5_2_3, Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 2_1_1, Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 2_4_1",0.4
GAM Esports,Lucian,5,2,0,"26.09, 26.10","Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 1_2_3, Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 2_1_2, LCP/2026 Season/Split 2 Playoffs_Round 2_2_1",0.4
GIANTX,Ezreal,5,3,0,"26.09, 26.10","LEC/2026 Season/Spring Season_Week 7_3_1, LEC/2026 Season/Spring Season_Week 7_5_2, Esports World Cup 2026/Online Qualifiers/EMEA_Round 3_2_1",0.6
GIANTX,Skarner,5,2,0,"26.09, 26.10","LEC/2026 Season/Spring Season_Week 7_2_2, LEC/2026 Season/Spring Season_Week 7_3_1, LEC/2026 Season/Spring Season_Week 7_5_2",0.4
GMBLERS Esports,Xin Zhao,5,1,0,"26.09, 26.10, 26.11","LIT/2026 Season/Spring Playoffs_Round 4_1_1, LIT/2026 Season/Spring Playoffs_Round 5_1_2, LIT/2026 Season/Spring Playoffs_Semifinals_2_1",0.2
GOAL,Rumble,5,3,0,"26.09, 26.11","Hellenic Legends League/2026 Season/Spring Split_Week 6_1_1, Hellenic Legends League/2026 Season/Spring Playoffs_Semifinals_2_1, EMEA Masters/2026 Season/Spring Play-In_Round 4_5_1",0.6
Galions,Jarvan IV,5,4,0,"26.09, 26.10, 26.11","LFL/2026 Season/Spring Playoffs_Round 1_3_1, LFL/2026 Season/Spring Playoffs_Round 2_2_2, LFL/2026 Season/Spring Playoffs_Finals_1_3",0.8
Galions,Pantheon,5,2,0,"26.09, 26.10, 26.11","Esports World Cup 2026/Online Qualifiers/EMEA_Round 3_1_2, Esports World Cup 2026/Online Qualifiers/EMEA_Round 4_3_3, LFL/2026 Season/Spring Playoffs_Finals_1_4",0.4
Galions,Ryze,5,3,0,"26.09, 26.10, 26.11","LFL/2026 Season/Spring Playoffs_Round 1_3_2, LFL/2026 Season/Spring Playoffs_Round 3_1_2, LFL/2026 Season/Spring Playoffs_Finals_1_1",0.6
Gen.G,Sion,5,4,0,"26.09, 26.10, 26.11","LCK/2026 Season/Rounds 1-2_Week 6_6_1, LCK/2026 Season/Rounds 1-2_Week 7_3_1, LCK/2026 Season/Rounds 1-2_Week 7_7_2",0.8
Gen.G Global Academy,K'Sante,5,0,0,"26.09, 26.10","LCK CL/2026 Season/Rounds 1-2_Week 6_5_1, LCK CL/2026 Season/Rounds 1-2_Week 6_6_1, LCK CL/2026 Season/Rounds 1-2_Week 7_2_2",0.0
Gen.G Global Academy,Nautilus,5,1,0,"26.09, 26.10","LCK CL/2026 Season/Rounds 1-2_Week 6_6_2, LCK CL/2026 Season/Rounds 1-2_Week 7_2_1, LCK CL/2026 Season/Rounds 1-2_Week 7_9_2",0.2
GnG Amazigh,K'Sante,5,2,0,"26.09, 26.11","Arabian League/2026 Season/Spring Split_Last Stand_2_2, Arabian League/2026 Season/Spring Split_Last Stand_3_1, Arabian League/2026 Season/Spring Split_Last Stand_6_1",0.4
HANJIN BRION,Aurora,5,3,0,"26.09, 26.10","LCK/2026 Season/Rounds 1-2_Week 6_4_2, LCK/2026 Season/Rounds 1-2_Week 6_8_2, Esports World Cup 2026/Online Qualifiers/Korea_Round 1_5_1",0.6
HANJIN BRION,Caitlyn,5,1,0,"26.09, 26.10, 26.11","LCK/2026 Season/Rounds 1-2_Week 7_10_3, Esports World Cup 2026/Online Qualifiers/Korea_Round 2_3_1, LCK/2026 Season/Rounds 1-2_Week 8_4_2",0.2
HANJIN BRION,Ezreal,5,2,0,"26.09, 26.10, 26.11","LCK/2026 Season/Rounds 1-2_Week 7_6_2, LCK/2026 Season/Rounds 1-2_Week 7_10_1, LCK/2026 Season/Rounds 1-2_Week 8_4_1",0.4
HANJIN BRION,Lucian,5,2,0,"26.09, 26.10","LCK/2026 Season/Rounds 1-2_Week 6_4_2, LCK/2026 Season/Rounds 1-2_Week 6_8_1, LCK/2026 Season/Rounds 1-2_Week 7_10_2",0.4
HANJIN BRION,Milio,5,2,0,"26.09, 26.10","LCK/2026 Season/Rounds 1-2_Week 6_4_2, LCK/2026 Season/Rounds 1-2_Week 6_8_1, LCK/2026 Season/Rounds 1-2_Week 7_10_2",0.4
HANJIN BRION,Neeko,5,2,0,"26.09, 26.10, 26.11","LCK/2026 Season/Rounds 1-2_Week 6_4_1, LCK/2026 Season/Rounds 1-2_Week 7_6_2, LCK/2026 Season/Rounds 1-2_Week 8_4_3",0.4
HANJIN BRION Challengers,Bard,5,1,0,"26.09, 26.10","LCK CL/2026 Season/Rounds 1-2_Week 6_5_2, LCK CL/2026 Season/Rounds 1-2_Week 6_10_2, LCK CL/2026 Season/Rounds 1-2_Week 7_6_1",0.2
HANJIN BRION Challengers,Jayce,5,0,0,"26.09, 26.10","LCK CL/2026 Season/Rounds 1-2_Week 6_10_2, LCK CL/2026 Season/Rounds 1-2_Week 7_5_1, LCK CL/2026 Season/Rounds 1-2_Week 8_10_1",0.0
Hanwha Life Esports,Ashe,5,5,0,"26.09, 26.10","LCK/2026 Season/Rounds 1-2_Week 6_10_2, Esports World Cup 2026/Online Qualifiers/Korea_Round 2_3_2, LCK/2026 Season/Rounds 1-2_Week 8_3_2",1.0
Hanwha Life Esports,Jayce,5,5,0,"26.09, 26.10, 26.11","Esports World Cup 2026/Online Qualifiers/Korea_Round 1_3_2, LCK/2026 Season/Rounds 1-2_Week 6_2_2, LCK/2026 Season/Rounds 1-2_Week 7_9_2",1.0
Hanwha Life Esports,Lee Sin,5,5,0,"26.09, 26.10, 26.11","LCK/2026 Season/Rounds 1-2_Week 7_5_1, Esports World Cup 2026/Online Qualifiers/Korea_Round 2_3_1, LCK/2026 Season/Rounds 1-2_Week 8_8_3",1.0
Hanwha Life Esports,Nautilus,5,2,0,"26.09, 26.10","Esports World Cup 2026/Online Qualifiers/Korea_Round 2_2_2, LCK/2026 Season/Rounds 1-2_Week 7_9_1, LCK/2026 Season/Rounds 1-2_Week 8_3_1",0.4
Hanwha Life Esports,Ryze,5,4,0,"26.10, 26.11","LCK/2026 Season/Rounds 1-2_Week 8_8_3, Esports World Cup 2026/Online Qualifiers/Korea_Round 4_2_2, LCK/2026 Season/Rounds 1-2_Week 9_1_2",0.8
Hanwha Life Esports,Seraphine,5,5,0,"26.09, 26.10","LCK/2026 Season/Rounds 1-2_Week 6_10_2, Esports World Cup 2026/Online Qualifiers/Korea_Round 2_3_2, LCK/2026 Season/Rounds 1-2_Week 8_3_2",1.0
Hanwha Life Esports Challengers,Neeko,5,1,0,"26.09, 26.10","LCK CL/2026 Season/Rounds 1-2_Week 6_3_2, LCK CL/2026 Season/Rounds 1-2_Week 7_10_1, LCK CL/2026 Season/Rounds 1-2_Week 8_3_1",0.2
Hanwha Life Esports Challengers,Xin Zhao,5,2,0,"26.09, 26.10","LCK CL/2026 Season/Rounds 1-2_Week 6_3_1, LCK CL/2026 Season/Rounds 1-2_Week 6_8_2, LCK CL/2026 Season/Rounds 1-2_Week 7_10_1",0.4
JD Gaming,Jhin,5,2,0,"26.09, 26.10","LPL/2026 Season/Split 2_Week 6_2_1, LPL/2026 Season/Split 2_Week 6_6_1, LPL/2026 Season/Split 2_Week 7_6_1",0.4
JD Gaming,Lucian,5,1,0,"26.09, 26.10","LPL/2026 Season/Split 2_Week 6_10_2, LPL/2026 Season/Split 2_Week 7_6_2, LPL/2026 Season/Split 2_Week 7_11_1",0.2
JD Gaming,Milio,5,1,0,"26.09, 26.10","LPL/2026 Season/Split 2_Week 6_10_2, LPL/2026 Season/Split 2_Week 7_6_2, LPL/2026 Season/Split 2_Week 7_11_1",0.2
KT Rolster,Jhin,5,2,0,"26.09, 26.10, 26.11","Esports World Cup 2026/Online Qualifiers/Korea_Round 1_1_2, LCK/2026 Season/Rounds 1-2_Week 7_4_3, LCK/2026 Season/Rounds 1-2_Week 9_7_2",0.4
KT Rolster,Lucian,5,2,0,"26.09, 26.10","Esports World Cup 2026/Online Qualifiers/Korea_Round 1_1_1, LCK/2026 Season/Rounds 1-2_Week 7_9_3, LCK/2026 Season/Rounds 1-2_Week 8_2_1",0.4
KT Rolster,Sivir,5,4,0,"26.09, 26.10, 26.11","LCK/2026 Season/Rounds 1-2_Week 7_4_1, LCK/2026 Season/Rounds 1-2_Week 7_9_1, Esports World Cup 2026/Online Qualifiers/Korea_Round 1_5_2",0.8
KT Rolster,Zaahen,5,5,0,"26.09, 26.10, 26.11","LCK/2026 Season/Rounds 1-2_Week 6_3_1, LCK/2026 Season/Rounds 1-2_Week 7_4_3, LCK/2026 Season/Rounds 1-2_Week 7_9_1",1.0
KT Rolster Challengers,Akali,5,5,0,"26.09, 26.10","LCK CL/2026 Season/Rounds 1-2_Week 6_9_2, LCK CL/2026 Season/Rounds 1-2_Week 7_6_1, LCK CL/2026 Season/Rounds 1-2_Week 8_5_2",1.0
KT Rolster Challengers,Bard,5,5,0,"26.09, 26.10, 26.11","LCK CL/2026 Season/Rounds 1-2_Week 6_9_1, LCK CL/2026 Season/Rounds 1-2_Week 8_5_2, LCK CL/2026 Season/Rounds 1-2_Week 8_9_1",1.0
KT Rolster Challengers,K'Sante,5,5,0,"26.10, 26.11","LCK CL/2026 Season/Rounds 1-2_Week 8_9_1, LCK CL/2026 Season/Rounds 1-2_Week 9_6_1, 2026 Asia Masters_Day 3_2_1",1.0
Karmine Corp,Aurora,5,1,0,"26.09, 26.10","LEC/2026 Season/Spring Season_Week 7_1_2, LEC/2026 Season/Spring Season_Week 7_5_1, Esports World Cup 2026/Online Qualifiers/EMEA_Round 6_1_1",0.2
Karmine Corp,Lulu,5,4,0,"26.09, 26.10","LEC/2026 Season/Spring Season_Week 7_4_3, LEC/2026 Season/Spring Season_Week 7_5_1, Esports World Cup 2026/Online Qualifiers/EMEA_Round 6_1_2",0.8
Karmine Corp,Taliyah,5,4,0,"26.09, 26.10","LEC/2026 Season/Spring Season_Week 7_4_1, Esports World Cup 2026/Online Qualifiers/EMEA_Round 6_2_2, LEC/2026 Season/Spring Playoffs_Round 1_1_1",0.8
Karmine Corp Blue,Aatrox,5,3,0,"26.09, 26.10, 26.11","LFL/2026 Season/Spring Playoffs_Round 1_2_2, LFL/2026 Season/Spring Playoffs_Round 2_1_3, LFL/2026 Season/Spring Playoffs_Round 4_2_2",0.6
Karmine Corp Blue,Alistar,5,4,0,"26.09, 26.10, 26.11","LFL/2026 Season/Spring Playoffs_Round 1_2_2, LFL/2026 Season/Spring Playoffs_Round 2_1_3, EMEA Masters/2026 Season/Spring Play-In_Round 2_1_1",0.8
Karmine Corp Blue,Anivia,5,4,0,"26.10, 26.11","LFL/2026 Season/Spring Playoffs_Round 2_1_1, EMEA Masters/2026 Season/Spring Play-In_Round 3_1_1, EMEA Masters/2026 Season/Spring Main Event_Groups Day 1_5_2",0.8
Karmine Corp Blue,Rumble,5,2,0,"26.10, 26.11","LFL/2026 Season/Spring Playoffs_Round 4_1_1, LFL/2026 Season/Spring Playoffs_Round 4_2_3, EMEA Masters/2026 Season/Spring Play-In_Round 1_1_1",0.4
Karmine Corp Blue,Vi,5,3,0,"26.10, 26.11","LFL/2026 Season/Spring Playoffs_Round 4_1_1, EMEA Masters/2026 Season/Spring Play-In_Round 2_1_1, EMEA Masters/2026 Season/Spring Play-In_Qualification Round_3_2",0.6
Karmine Corp Blue Stars,Ryze,5,2,0,"26.09, 26.10","Nexus League/2026 Season/Spring Split_Week 6_7_1, Nexus League/2026 Season/Spring Split_Week 7_1_1, Nexus League/2026 Season/Spring Split_Week 7_7_1",0.4
Kiwoom DRX,Annie,5,2,0,"26.09, 26.10","Esports World Cup 2026/Online Qualifiers/Korea_Play-In_1_1, LCK/2026 Season/Rounds 1-2_Week 6_10_2, LCK/2026 Season/Rounds 1-2_Week 7_10_1",0.4
Kiwoom DRX,Ezreal,5,2,0,"26.09, 26.10","LCK/2026 Season/Rounds 1-2_Week 6_6_1, LCK/2026 Season/Rounds 1-2_Week 7_4_1, LCK/2026 Season/Rounds 1-2_Week 8_5_2",0.4
Kiwoom DRX,Jarvan IV,5,2,0,"26.09, 26.10","Esports World Cup 2026/Online Qualifiers/Korea_Play-In_1_3, LCK/2026 Season/Rounds 1-2_Week 6_6_1, LCK/2026 Season/Rounds 1-2_Week 6_10_1",0.4
Kiwoom DRX,Miss Fortune,5,3,0,"26.09, 26.10","LCK/2026 Season/Rounds 1-2_Week 6_10_1, LCK/2026 Season/Rounds 1-2_Week 7_10_1, LCK/2026 Season/Rounds 1-2_Week 8_1_2",0.6
Kiwoom DRX,Nautilus,5,2,0,"26.09, 26.10","Esports World Cup 2026/Online Qualifiers/Korea_Play-In_1_3, LCK/2026 Season/Rounds 1-2_Week 6_10_1, LCK/2026 Season/Rounds 1-2_Week 7_10_2",0.4
Kiwoom DRX,Ryze,5,3,0,"26.09, 26.10","LCK/2026 Season/Rounds 1-2_Week 6_6_1, LCK/2026 Season/Rounds 1-2_Week 6_10_1, LCK/2026 Season/Rounds 1-2_Week 7_10_2",0.6
Kiwoom DRX,Xin Zhao,5,2,0,"26.09, 26.10","Esports World Cup 2026/Online Qualifiers/Korea_Play-In_1_1, LCK/2026 Season/Rounds 1-2_Week 6_6_2, LCK/2026 Season/Rounds 1-2_Week 7_4_1",0.4
Kiwoom DRX Challengers,Skarner,5,4,0,"26.09, 26.10","LCK CL/2026 Season/Rounds 1-2_Week 6_8_1, LCK CL/2026 Season/Rounds 1-2_Week 7_9_2, LCK CL/2026 Season/Rounds 1-2_Week 8_2_2",0.8
L Guide Gaming,Rumble,5,1,0,"26.09, 26.10","LJL/2026 Season/Spring Series_Week 2_3_1, LJL/2026 Season/Spring Series_Week 3_1_2, LJL/2026 Season/Spring Series_Week 4_4_1",0.2
LOUD,Caitlyn,5,2,0,"26.09, 26.10, 26.11","CBLOL/2026 Season/Split 1 Playoffs_Round 1_1_1, CBLOL/2026 Season/Split 1 Playoffs_Round 2_2_2, CBLOL/2026 Season/Split 1 Playoffs_Round 2_3_1",0.4
LOUD,Sion,5,2,0,"26.09, 26.10, 26.11","CBLOL/2026 Season/Split 1 Playoffs_Round 1_1_2, CBLOL/2026 Season/Split 1 Playoffs_Round 2_3_1, Esports World Cup 2026/Online Qualifiers/South America_Round 1_1_1",0.4
LØS,Caitlyn,5,4,0,"26.09, 26.10, 26.11","CBLOL/2026 Season/Split 1 Playoffs_Round 1_2_1, CBLOL/2026 Season/Split 1 Playoffs_Round 1_3_3, Esports World Cup 2026/Online Qualifiers/South America_Round 2_4_2",0.8
LØS,Gnar,5,3,0,"26.09, 26.10, 26.11","CBLOL/2026 Season/Split 1_Week 6_3_1, CBLOL/2026 Season/Split 1 Playoffs_Round 1_2_3, CBLOL/2026 Season/Split 1 Playoffs_Round 2_3_4",0.6
LØS,Orianna,5,1,0,26.11,"CBLOL/2026 Season/Split 1 Playoffs_Finals_1_3, Esports World Cup 2026/Online Qualifiers/South America_Round 2_1_1, Esports World Cup 2026/Online Qualifiers/South America_Round 2_4_1",0.2
LØS,Pantheon,5,5,0,"26.10, 26.11","CBLOL/2026 Season/Split 1 Playoffs_Round 1_3_1, CBLOL/2026 Season/Split 1 Playoffs_Round 4_2_2, Esports World Cup 2026/Online Qualifiers/South America_Round 2_1_2",1.0
LØS,Rumble,5,3,0,"26.09, 26.10, 26.11","CBLOL/2026 Season/Split 1 Playoffs_Round 1_2_2, CBLOL/2026 Season/Split 1 Playoffs_Round 1_3_1, CBLOL/2026 Season/Split 1 Playoffs_Round 4_2_2",0.6
LØS,Viktor,5,4,0,"26.09, 26.11","CBLOL/2026 Season/Split 1_Week 6_3_3, CBLOL/2026 Season/Split 1 Playoffs_Round 1_2_1, CBLOL/2026 Season/Split 1 Playoffs_Round 3_1_1",0.8
MVK Esports,Cassiopeia,5,3,0,"26.09, 26.10","LCP/2026 Season/Split 2_Week 5_1_1, LCP/2026 Season/Split 2_Week 6_2_2, Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 1_6_1",0.6
MVK Esports,Gnar,5,2,0,"26.09, 26.10","Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 1_4_1, LCP/2026 Season/Split 2_Week 6_2_2, Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 1_6_2",0.4
MVK Esports Academy,Lucian,5,1,0,26.09,"VCS/2026 Season/Summer Season_Week 1_2_2, VCS/2026 Season/Summer Season_Week 1_6_2, VCS/2026 Season/Summer Season_Week 2_1_1",0.2
Magaza Esports,Lulu,5,2,0,"26.09, 26.10, 26.11","Esports Balkan League/2026 Season/Spring Playoffs_Round 2_2_2, Esports Balkan League/2026 Season/Spring Playoffs_Round 4_1_2, Esports Balkan League/2026 Season/Spring Playoffs_Round 4_2_1",0.4
Magaza Esports,Xin Zhao,5,2,0,"26.09, 26.10, 26.11","Esports Balkan League/2026 Season/Spring Playoffs_Round 1_3_1, Esports Balkan League/2026 Season/Spring Playoffs_Round 2_2_1, Esports Balkan League/2026 Season/Spring Playoffs_Round 4_1_1",0.4
Meavedron,Viego,5,3,0,26.10,"Hitpoint Masters/2026 Season/Spring Split_Week 4_3_3, Hitpoint Masters/2026 Season/Spring Split_Week 4_8_2, Hitpoint Masters/2026 Season/Spring Playoffs_Round 1_1_2",0.6
Misa Esports,Cassiopeia,5,3,0,"26.10, 26.11","TCL/2026 Season/Spring Playoffs_Round 2_1_1, TCL/2026 Season/Spring Playoffs_Finals_1_3, EMEA Masters/2026 Season/Spring Main Event_Groups Day 2_1_1",0.6
Movistar KOI,Akali,5,3,0,"26.09, 26.10","LEC/2026 Season/Spring Season_Week 7_4_2, Esports World Cup 2026/Online Qualifiers/EMEA_Round 5_1_1, LEC/2026 Season/Spring Playoffs_Round 1_2_2",0.6
Movistar KOI,Azir,5,1,0,"26.09, 26.10","LEC/2026 Season/Spring Season_Week 6_6_1, LEC/2026 Season/Spring Season_Week 7_4_1, LEC/2026 Season/Spring Season_Week 7_6_1",0.2
Movistar KOI,Caitlyn,5,3,0,"26.09, 26.10","LEC/2026 Season/Spring Season_Week 7_4_1, Esports World Cup 2026/Online Qualifiers/EMEA_Round 5_1_1, LEC/2026 Season/Spring Playoffs_Round 1_2_2",0.6
Movistar KOI,Trundle,5,3,0,"26.09, 26.10","LEC/2026 Season/Spring Season_Week 7_4_3, Esports World Cup 2026/Online Qualifiers/EMEA_Round 4_4_2, Esports World Cup 2026/Online Qualifiers/EMEA_Round 5_1_2",0.6
Movistar KOI,Xin Zhao,5,3,0,26.09,"LEC/2026 Season/Spring Season_Week 6_6_2, LEC/2026 Season/Spring Season_Week 7_6_3, Esports World Cup 2026/Online Qualifiers/EMEA_Round 4_2_2",0.6
NextGeneration Esports,Ahri,5,2,0,"26.09, 26.11","Arabian League 2nd Division/2026 Season/Spring Split_Week 5_2_2, Arabian League 2nd Division/2026 Season/Spring Playoffs_Round 1_2_2, Arabian League 2nd Division/2026 Season/Spring Playoffs_Finals_1_1",0.4
NextGeneration Esports,Vi,5,3,0,"26.09, 26.11","Arabian League 2nd Division/2026 Season/Spring Split_Week 5_2_2, Arabian League 2nd Division/2026 Season/Spring Playoffs_Round 1_2_3, Arabian League 2nd Division/2026 Season/Spring Playoffs_Round 2_1_1",0.6
Nightbirds,Ezreal,5,4,0,"26.09, 26.10, 26.11","Hitpoint Masters/2026 Season/Spring Split_Week 3_3_1, Hitpoint Masters/2026 Season/Spring Split_Week 4_4_1, EMEA Masters/2026 Season/Spring Play-In_Round 1_4_1",0.8
Nightbirds,Jarvan IV,5,2,0,"26.09, 26.10, 26.11","Hitpoint Masters/2026 Season/Spring Split_Week 3_3_1, Hitpoint Masters/2026 Season/Spring Split_Week 4_6_2, Hitpoint Masters/2026 Season/Spring Playoffs_Finals_1_2",0.4
Nightbirds,Jhin,5,3,0,"26.09, 26.10, 26.11","Hitpoint Masters/2026 Season/Spring Split_Week 3_3_3, Hitpoint Masters/2026 Season/Spring Playoffs_Round 1_1_2, Hitpoint Masters/2026 Season/Spring Playoffs_Round 3_1_4",0.6
Nightbirds,K'Sante,5,4,0,"26.10, 26.11","Hitpoint Masters/2026 Season/Spring Playoffs_Round 1_1_1, Hitpoint Masters/2026 Season/Spring Playoffs_Round 3_2_1, Hitpoint Masters/2026 Season/Spring Playoffs_Finals_1_1",0.8
Nightbirds,Orianna,5,3,0,"26.10, 26.11","Hitpoint Masters/2026 Season/Spring Playoffs_Round 1_1_1, Hitpoint Masters/2026 Season/Spring Playoffs_Round 3_1_2, Hitpoint Masters/2026 Season/Spring Playoffs_Finals_1_1",0.6
Ninjas in Pyjamas.CN,Jayce,5,2,0,"26.09, 26.10","LPL/2026 Season/Split 2_Week 5_13_1, LPL/2026 Season/Split 2_Week 6_4_2, LPL/2026 Season/Split 2_Week 7_1_3",0.4
Nongshim Esports Academy,Sion,5,1,0,"26.09, 26.10","LCK CL/2026 Season/Rounds 1-2_Week 6_4_1, LCK CL/2026 Season/Rounds 1-2_Week 6_7_1, LCK CL/2026 Season/Rounds 1-2_Week 7_1_1",0.2
Nongshim Esports Academy,Skarner,5,4,0,"26.09, 26.10, 26.11","LCK CL/2026 Season/Rounds 1-2_Week 6_7_2, LCK CL/2026 Season/Rounds 1-2_Week 7_10_3, LCK CL/2026 Season/Rounds 1-2_Week 8_8_1",0.8
Nongshim Esports Academy,Xin Zhao,5,4,0,"26.09, 26.10, 26.11","LCK CL/2026 Season/Rounds 1-2_Week 6_4_1, LCK CL/2026 Season/Rounds 1-2_Week 6_7_1, LCK CL/2026 Season/Rounds 1-2_Week 7_1_2",0.8
Nongshim RedForce,Lulu,5,1,0,"26.09, 26.10","LCK/2026 Season/Rounds 1-2_Week 7_8_2, LCK/2026 Season/Rounds 1-2_Week 8_2_2, LCK/2026 Season/Rounds 1-2_Week 8_8_3",0.2
Nongshim RedForce,Nautilus,5,1,0,"26.09, 26.10","Esports World Cup 2026/Online Qualifiers/Korea_Round 1_4_2, LCK/2026 Season/Rounds 1-2_Week 6_1_2, Esports World Cup 2026/Online Qualifiers/Korea_Round 2_4_1",0.2
Otter Side,Nautilus,5,3,0,"26.10, 26.11","LPLOL/2026 Season/Spring Playoffs_Round 1_1_2, LPLOL/2026 Season/Spring Playoffs_Finals_1_2, EMEA Masters/2026 Season/Spring Play-In_Round 2_6_1",0.6
PCIFIC Esports,Jarvan IV,5,1,0,"26.09, 26.10, 26.11","TCL/2026 Season/Spring Split_Week 5_2_1, TCL/2026 Season/Spring Split_Week 5_6_1, TCL/2026 Season/Spring Playoffs_Round 1_2_1",0.2
PCIFIC Esports,Milio,5,2,0,"26.09, 26.10, 26.11","TCL/2026 Season/Spring Split_Week 5_2_2, TCL/2026 Season/Spring Split_Week 5_6_3, TCL/2026 Season/Spring Playoffs_Round 2_2_2",0.4
PCIFIC Esports,Neeko,5,1,0,"26.09, 26.10, 26.11","TCL/2026 Season/Spring Split_Week 5_2_1, TCL/2026 Season/Spring Playoffs_Round 1_2_4, TCL/2026 Season/Spring Playoffs_Semifinals_1_1",0.2
Partizan Sangal,Milio,5,3,0,"26.09, 26.11","Esports Balkan League/2026 Season/Spring Playoffs_Round 1_1_2, EMEA Masters/2026 Season/Spring Play-In_Round 2_8_1, EMEA Masters/2026 Season/Spring Play-In_Qualification Round_2_2",0.6
Partizan Sangal,Pantheon,5,4,0,"26.09, 26.10, 26.11","Esports Balkan League/2026 Season/Spring Playoffs_Round 1_1_2, Esports Balkan League/2026 Season/Spring Playoffs_Round 2_1_1, Esports Balkan League/2026 Season/Spring Playoffs_Round 4_1_1",0.8
Priority,Viktor,5,3,0,"26.09, 26.10, 26.11","Hitpoint 2nd Division Challengers/2026 Season/Spring Split_Week 4_3_2, Hitpoint 2nd Division Challengers/2026 Season/Spring Split_Week 4_10_1, Hitpoint 2nd Division Challengers/2026 Season/Spring Playoffs_Round 1_1_4",0.6
Pyramid IV Esports,K'Sante,5,3,0,"26.09, 26.11","Arabian League 2nd Division/2026 Season/Spring Split_Week 4_4_2, Arabian League 2nd Division/2026 Season/Spring Playoffs_Round 1_1_1, Arabian League 2nd Division/2026 Season/Spring Playoffs_Finals_1_1",0.6
Rising Gaming,LeBlanc,5,4,0,"26.09, 26.10, 26.11","LJL/2026 Season/Spring Series_Week 3_3_2, LJL/2026 Season/Spring Series_Week 4_2_2, LJL/2026 Season/Spring Series_Week 5_4_2",0.8
Rising Gaming,Pantheon,5,4,0,"26.09, 26.10, 26.11","LJL/2026 Season/Spring Series_Week 2_1_2, LJL/2026 Season/Spring Series_Week 5_4_2, LJL/2026 Season/Spring Series_Week 6_4_1",0.8
Rising Gaming,Xin Zhao,5,4,0,"26.09, 26.10, 26.11","LJL/2026 Season/Spring Series_Week 2_1_3, LJL/2026 Season/Spring Series_Week 2_5_3, LJL/2026 Season/Spring Series_Week 3_3_1",0.8
